Altium Designer Pick and Place Locations
S:\Jobs\1166V10\Produce\Prints\Pick Place for 1166V10(Variant V10).csv

========================================================================================================================
File Design Information:

Date:       15.01.21
Time:       15:53
Revision:   Not in VersionControl
Variant:    Variant V10
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"CF206","22µF/16V","BottomLayer","0805-Cap","41.7600","42.1000","270","Capacitor (SMD)"
"CF205","22µF/16V","BottomLayer","0805-Cap","39.9600","42.1000","270","Capacitor (SMD)"
"CF209","100nF","TopLayer","0603-Cap","36.2000","4.2500","270","Capacitor (SMD)"
"CF208","1µF/10V","TopLayer","0603-Cap","23.2000","4.2500","90","Capacitor (SMD)"
"CF202","22µF/16V","BottomLayer","0805-Cap","105.7000","64.5000","0","Capacitor (SMD)"
"CF201","22µF/16V","BottomLayer","0805-Cap","105.7000","66.3000","0","Capacitor (SMD)"
"CF204","100nF","TopLayer","0603-Cap","109.5500","70.0000","180","Capacitor (SMD)"
"CF203","1µF/10V","TopLayer","0603-Cap","109.5500","82.9000","360","Capacitor (SMD)"
"C224","100nF","BottomLayer","0603-Cap","43.3600","42.3500","270","Capacitor (SMD)"
"C223","10µF/50V","BottomLayer","1206-Cap","22.9500","46.7000","180","Capacitor (SMD)"
"C222","10µF/50V","BottomLayer","1206-Cap","22.9500","48.9000","180","Capacitor (SMD)"
"C208","100nF","BottomLayer","0603-Cap","105.9500","63.0000","0","Capacitor (SMD)"
"C207","10µF/50V","BottomLayer","1206-Cap","107.1500","87.7000","180","Capacitor (SMD)"
"C206","10µF/50V","BottomLayer","1206-Cap","107.1500","89.8000","180","Capacitor (SMD)"
"C205","1µF/630V","BottomLayer","2220-Cap","120.1500","49.7000","360","Capacitor (SMD)"
"C204","100nF/630V","BottomLayer","2220-Cap","107.8500","49.3000","180","Capacitor (SMD)"
"C203","100nF/630V","BottomLayer","2220-Cap","107.8500","43.2000","180","Capacitor (SMD)"
"C202","22nF/1KV","BottomLayer","2220-Cap","120.1500","43.6000","360","Capacitor (SMD)"
"C109","100nF","TopLayer","0603-Cap","9.1000","67.2500","270","Capacitor (SMD)"
"C108","10µF/10V","TopLayer","0603-Cap","7.8000","67.2500","270","Capacitor (SMD)"
